path,label,kind,text,voice_id,voice_name,model_id,stability,similarity_boost,style,speed
data\normal_negative_ai\normal_negative_00015.wav,0,normal_negative,co oznacza ten kod,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00016.wav,0,normal_negative,uruchom diagnostykę,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00017.wav,0,normal_negative,pokaż błąd,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00018.wav,0,normal_negative,co oznacza ten kod,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00019.wav,0,normal_negative,wózek nie jedzie,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00020.wav,0,normal_negative,czy to jest bezpieczne,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00021.wav,0,normal_negative,nie działa podnoszenie,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00022.wav,0,normal_negative,czy to jest bezpieczne,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00023.wav,0,normal_negative,uruchom diagnostykę,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00024.wav,0,normal_negative,otwórz instrukcję,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00025.wav,0,normal_negative,podaj numer błędu,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00026.wav,0,normal_negative,jaki to parametr,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00027.wav,0,normal_negative,jaki to parametr,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00028.wav,0,normal_negative,wózek nie jedzie,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00029.wav,0,normal_negative,sprawdź baterię,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00030.wav,0,normal_negative,czy to jest bezpieczne,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00031.wav,0,normal_negative,czy to jest bezpieczne,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00032.wav,0,normal_negative,podaj numer błędu,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00033.wav,0,normal_negative,gdzie jest bezpiecznik,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00034.wav,0,normal_negative,uruchom diagnostykę,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00035.wav,0,normal_negative,sprawdź baterię,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00036.wav,0,normal_negative,co oznacza ten kod,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00037.wav,0,normal_negative,otwórz instrukcję,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00038.wav,0,normal_negative,uruchom diagnostykę,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00039.wav,0,normal_negative,wózek nie jedzie,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00040.wav,0,normal_negative,potrzebuję pomocy,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00041.wav,0,normal_negative,czy to jest bezpieczne,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00042.wav,0,normal_negative,co oznacza ten kod,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00043.wav,0,normal_negative,otwórz instrukcję,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00044.wav,0,normal_negative,gdzie jest bezpiecznik,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00045.wav,0,normal_negative,potrzebuję pomocy,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00046.wav,0,normal_negative,jaki to parametr,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00047.wav,0,normal_negative,nie działa podnoszenie,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00048.wav,0,normal_negative,uruchom diagnostykę,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00049.wav,0,normal_negative,pokaż błąd,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00050.wav,0,normal_negative,jaki to parametr,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00051.wav,0,normal_negative,pokaż błąd,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00052.wav,0,normal_negative,co oznacza ten kod,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00053.wav,0,normal_negative,pokaż schemat,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00054.wav,0,normal_negative,czy to jest bezpieczne,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00055.wav,0,normal_negative,podaj numer błędu,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00056.wav,0,normal_negative,potrzebuję pomocy,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00057.wav,0,normal_negative,wózek nie jedzie,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00058.wav,0,normal_negative,potrzebuję pomocy,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00059.wav,0,normal_negative,sprawdź baterię,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00060.wav,0,normal_negative,nie działa podnoszenie,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00061.wav,0,normal_negative,uruchom diagnostykę,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00062.wav,0,normal_negative,co oznacza ten kod,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00063.wav,0,normal_negative,co oznacza ten kod,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00064.wav,0,normal_negative,co oznacza ten kod,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00065.wav,0,normal_negative,czy to jest bezpieczne,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00066.wav,0,normal_negative,potrzebuję pomocy,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00067.wav,0,normal_negative,sprawdź baterię,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00068.wav,0,normal_negative,sprawdź baterię,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00069.wav,0,normal_negative,czy to jest bezpieczne,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00070.wav,0,normal_negative,wózek nie jedzie,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00071.wav,0,normal_negative,jaki to parametr,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00072.wav,0,normal_negative,pokaż błąd,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00073.wav,0,normal_negative,pokaż schemat,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00074.wav,0,normal_negative,sprawdź baterię,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00075.wav,0,normal_negative,otwórz instrukcję,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00076.wav,0,normal_negative,podaj numer błędu,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00077.wav,0,normal_negative,jaki to parametr,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00078.wav,0,normal_negative,pokaż schemat,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00079.wav,0,normal_negative,czy to jest bezpieczne,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00080.wav,0,normal_negative,pokaż schemat,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00081.wav,0,normal_negative,wózek nie jedzie,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00082.wav,0,normal_negative,sprawdź baterię,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00083.wav,0,normal_negative,otwórz instrukcję,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00084.wav,0,normal_negative,wózek nie jedzie,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00085.wav,0,normal_negative,podaj numer błędu,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00086.wav,0,normal_negative,otwórz instrukcję,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00087.wav,0,normal_negative,sprawdź baterię,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00088.wav,0,normal_negative,gdzie jest bezpiecznik,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00089.wav,0,normal_negative,pokaż błąd,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00090.wav,0,normal_negative,pokaż błąd,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00091.wav,0,normal_negative,co oznacza ten kod,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00092.wav,0,normal_negative,wózek nie jedzie,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00093.wav,0,normal_negative,uruchom diagnostykę,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00094.wav,0,normal_negative,wózek nie jedzie,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00095.wav,0,normal_negative,sprawdź baterię,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00096.wav,0,normal_negative,podaj numer błędu,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00097.wav,0,normal_negative,czy to jest bezpieczne,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00098.wav,0,normal_negative,nie działa podnoszenie,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00099.wav,0,normal_negative,sprawdź czujnik,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00100.wav,0,normal_negative,potrzebuję pomocy,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00101.wav,0,normal_negative,otwórz instrukcję,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00102.wav,0,normal_negative,sprawdź baterię,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00103.wav,0,normal_negative,otwórz instrukcję,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00104.wav,0,normal_negative,uruchom diagnostykę,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00105.wav,0,normal_negative,czy to jest bezpieczne,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00106.wav,0,normal_negative,podaj numer błędu,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00107.wav,0,normal_negative,gdzie jest bezpiecznik,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00108.wav,0,normal_negative,podaj numer błędu,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00109.wav,0,normal_negative,sprawdź baterię,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00110.wav,0,normal_negative,podaj numer błędu,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00111.wav,0,normal_negative,czy to jest bezpieczne,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00112.wav,0,normal_negative,pokaż błąd,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00113.wav,0,normal_negative,pokaż schemat,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00114.wav,0,normal_negative,otwórz instrukcję,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00115.wav,0,normal_negative,potrzebuję pomocy,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00116.wav,0,normal_negative,co oznacza ten kod,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00117.wav,0,normal_negative,jaki to parametr,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00118.wav,0,normal_negative,wózek nie jedzie,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00119.wav,0,normal_negative,podaj numer błędu,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00120.wav,0,normal_negative,nie działa podnoszenie,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00121.wav,0,normal_negative,czy to jest bezpieczne,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00122.wav,0,normal_negative,pokaż schemat,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00123.wav,0,normal_negative,sprawdź baterię,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00124.wav,0,normal_negative,wózek nie jedzie,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00125.wav,0,normal_negative,gdzie jest bezpiecznik,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00126.wav,0,normal_negative,pokaż schemat,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00127.wav,0,normal_negative,otwórz instrukcję,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00128.wav,0,normal_negative,jaki to parametr,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00129.wav,0,normal_negative,sprawdź baterię,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00130.wav,0,normal_negative,nie działa podnoszenie,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00131.wav,0,normal_negative,sprawdź baterię,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00132.wav,0,normal_negative,wózek nie jedzie,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00133.wav,0,normal_negative,jaki to parametr,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00134.wav,0,normal_negative,nie działa podnoszenie,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00135.wav,0,normal_negative,pokaż błąd,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00136.wav,0,normal_negative,otwórz instrukcję,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00137.wav,0,normal_negative,co oznacza ten kod,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00138.wav,0,normal_negative,gdzie jest bezpiecznik,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00139.wav,0,normal_negative,uruchom diagnostykę,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00140.wav,0,normal_negative,uruchom diagnostykę,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00141.wav,0,normal_negative,pokaż błąd,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.65,0.85,0.15,1.2
